,substrate-nodes-id,degree-in,normalized-degree-in,degree-out,normalized-degree-out,betweenness-centrality,normalized-betweenness_centrality,normalized-closeness-centrality,vitality,subtrate-topology
0,48309,65,0.6565656565656566,47,0.47474747474747475,54.20440771265129,0.005586931324742454,0.7443609022556391,284,waxman
1,48310,56,0.5656565656565656,51,0.5151515151515151,50.419446275378064,0.005196809552193162,0.6971830985915493,289,waxman
2,48311,53,0.5353535353535354,58,0.5858585858585859,57.40249333890679,0.005916562908565943,0.6827586206896552,285,waxman
3,48312,57,0.5757575757575758,56,0.5656565656565656,53.58136360396115,0.005522713214178638,0.7021276595744681,283,waxman
4,48313,52,0.5252525252525253,53,0.5353535353535354,51.59562536909399,0.005318040132868892,0.678082191780822,291,waxman
5,48314,59,0.5959595959595959,45,0.45454545454545453,46.58686281929,0.004801779305224695,0.7122302158273381,292,waxman
6,48315,52,0.5252525252525253,59,0.5959595959595959,56.51121195571062,0.005824697171275059,0.678082191780822,285,waxman
7,48316,46,0.46464646464646464,47,0.47474747474747475,39.82799674499868,0.0041051326267778476,0.6513157894736842,303,waxman
8,48317,45,0.45454545454545453,49,0.494949494949495,39.58936507055719,0.00408053649459464,0.6470588235294118,302,waxman
9,48318,60,0.6060606060606061,49,0.494949494949495,51.612920943290696,0.005319822814191991,0.717391304347826,287,waxman
10,48319,51,0.5151515151515151,50,0.5050505050505051,47.05960851710721,0.004850505928376336,0.673469387755102,295,waxman
11,48320,49,0.494949494949495,50,0.5050505050505051,46.69249998953916,0.004812667490160704,0.6644295302013423,297,waxman
12,48321,57,0.5757575757575758,61,0.6161616161616161,61.23083038465018,0.006311155471516201,0.7021276595744681,278,waxman
13,48322,58,0.5858585858585859,42,0.42424242424242425,43.812343489368736,0.004515805348316712,0.7071428571428572,296,waxman
14,48323,46,0.46464646464646464,41,0.41414141414141414,36.44405714837776,0.0037563447895668685,0.6513157894736842,309,waxman
15,48324,61,0.6161616161616161,61,0.6161616161616161,71.33454799472483,0.0073525611208745435,0.7226277372262774,274,waxman
16,48325,33,0.3333333333333333,42,0.42424242424242425,24.536692977297896,0.0025290345266231595,0.6,321,waxman
17,48326,42,0.42424242424242425,39,0.3939393939393939,28.16509488696982,0.0029030194688692865,0.6346153846153846,315,waxman
18,48327,62,0.6262626262626263,56,0.5656565656565656,61.053368268851095,0.006292864179432188,0.7279411764705882,278,waxman
19,48328,52,0.5252525252525253,52,0.5252525252525253,49.18992713949633,0.005070081131673503,0.678082191780822,292,waxman
20,48329,49,0.494949494949495,45,0.45454545454545453,40.85548770155113,0.004211037693418998,0.6644295302013423,302,waxman
21,48330,57,0.5757575757575758,64,0.6464646464646465,64.32895164604915,0.006630483575144212,0.7021276595744681,275,waxman
22,48331,50,0.5050505050505051,50,0.5050505050505051,42.59044797536667,0.004389862706180856,0.668918918918919,296,waxman
23,48332,50,0.5050505050505051,46,0.46464646464646464,38.478497793362656,0.003966037702882154,0.668918918918919,300,waxman
24,48333,36,0.36363636363636365,43,0.43434343434343436,28.69039501536781,0.002957162957675511,0.6111111111111112,317,waxman
25,48334,60,0.6060606060606061,58,0.5858585858585859,60.84058046152759,0.006270931814216407,0.717391304347826,278,waxman
26,48335,58,0.5858585858585859,58,0.5858585858585859,63.00078630843045,0.0064935875395207635,0.7071428571428572,280,waxman
27,48336,42,0.42424242424242425,46,0.46464646464646464,33.415722317679425,0.0034442096802390666,0.6346153846153846,308,waxman
28,48337,51,0.5151515151515151,53,0.5353535353535354,47.4833716101756,0.0048941838394326535,0.673469387755102,292,waxman
29,48338,50,0.5050505050505051,49,0.494949494949495,46.43668115734153,0.004786299851302982,0.668918918918919,297,waxman
30,48339,44,0.4444444444444444,50,0.5050505050505051,41.36956654330119,0.004264024587023417,0.6428571428571429,302,waxman
31,48340,49,0.494949494949495,44,0.4444444444444444,39.47369999198878,0.00406861471778899,0.6644295302013423,303,waxman
32,48341,52,0.5252525252525253,55,0.5555555555555556,51.804880516723784,0.005339608381439268,0.678082191780822,289,waxman
33,48342,56,0.5656565656565656,63,0.6363636363636364,65.93593885958832,0.006796118208574347,0.6971830985915493,277,waxman
