,substrate-nodes-id,degree-in,normalized-degree-in,degree-out,normalized-degree-out,betweenness-centrality,normalized-betweenness_centrality,normalized-closeness-centrality,vitality,subtrate-topology
0,11694,57,0.5757575757575758,55,0.5555555555555556,62.71293798349461,0.006463918571788766,0.7021276595744681,284,redge
1,11695,53,0.5353535353535354,51,0.5151515151515151,56.13654566662333,0.005786079743003847,0.6827586206896552,292,redge
2,11696,56,0.5656565656565656,52,0.5252525252525253,54.522487711202004,0.005619716317378067,0.6971830985915493,288,redge
3,11697,57,0.5757575757575758,51,0.5151515151515151,59.51290440641335,0.006134086209690099,0.7021276595744681,288,redge
4,11698,41,0.41414141414141414,55,0.5555555555555556,46.831910750310826,0.004827036770800951,0.6305732484076433,300,redge
5,11699,38,0.3838383838383838,45,0.45454545454545453,32.794927497851596,0.0033802234073233967,0.61875,313,redge
6,11700,42,0.42424242424242425,44,0.4444444444444444,35.93561398780266,0.0037039387742530054,0.6346153846153846,310,redge
7,11701,59,0.5959595959595959,50,0.5050505050505051,61.67030891704937,0.006356453196974785,0.7122302158273381,287,redge
8,11702,56,0.5656565656565656,59,0.5959595959595959,64.98406516832841,0.006698007129285551,0.6971830985915493,281,redge
9,11703,45,0.45454545454545453,41,0.41414141414141414,37.26705337217559,0.0038411722708900833,0.6470588235294118,310,redge
10,11704,52,0.5252525252525253,49,0.494949494949495,50.81660370552822,0.005237745176822121,0.678082191780822,295,redge
11,11705,44,0.4444444444444444,50,0.5050505050505051,44.91864772277778,0.004629833820117273,0.6428571428571429,302,redge
12,11706,44,0.4444444444444444,48,0.48484848484848486,42.85959871050059,0.004417604484693938,0.6428571428571429,304,redge
13,11707,45,0.45454545454545453,54,0.5454545454545454,49.12268646312353,0.00506315053217105,0.6470588235294118,297,redge
14,11708,45,0.45454545454545453,49,0.494949494949495,44.213834983106814,0.004557187691517915,0.6470588235294118,302,redge
15,11709,49,0.494949494949495,45,0.45454545454545453,45.25614034403446,0.004664619701508397,0.6644295302013423,302,redge
16,11710,50,0.5050505050505051,39,0.3939393939393939,37.385822069401236,0.0038534139424243694,0.668918918918919,307,redge
17,11711,48,0.48484848484848486,46,0.46464646464646464,42.58208766268214,0.0043890009959474474,0.66,302,redge
18,11712,50,0.5050505050505051,55,0.5555555555555556,54.760624565139615,0.005644261447654052,0.668918918918919,291,redge
19,11713,44,0.4444444444444444,60,0.6060606060606061,52.316736338113415,0.005392366144930263,0.6428571428571429,292,redge
20,11714,47,0.47474747474747475,40,0.40404040404040403,36.673782039477146,0.0037800228859489944,0.6556291390728477,309,redge
21,11715,47,0.47474747474747475,38,0.3838383838383838,35.74388359660924,0.003684176829170195,0.6556291390728477,311,redge
22,11716,57,0.5757575757575758,45,0.45454545454545453,48.33798913275381,0.004982270576453701,0.7021276595744681,294,redge
23,11717,50,0.5050505050505051,62,0.6262626262626263,63.224031717370856,0.00651659778575251,0.668918918918919,284,redge
24,11718,58,0.5858585858585859,49,0.494949494949495,57.63054780585321,0.00594006883177213,0.7071428571428572,289,redge
25,11719,46,0.46464646464646464,45,0.45454545454545453,43.72503028966103,0.0045068058430901906,0.6513157894736842,305,redge
26,11720,53,0.5353535353535354,48,0.48484848484848486,50.966687112626616,0.005253214503465947,0.6827586206896552,295,redge
27,11721,43,0.43434343434343436,50,0.5050505050505051,41.204467262927224,0.004247007551322121,0.6387096774193548,303,redge
28,11722,49,0.494949494949495,44,0.4444444444444444,41.751442207622965,0.004303385096642235,0.6644295302013423,303,redge
29,11723,49,0.494949494949495,54,0.5454545454545454,52.33467283536624,0.005394214887174421,0.6644295302013423,293,redge
30,11724,44,0.4444444444444444,44,0.4444444444444444,36.19790878915312,0.003730973901170183,0.6428571428571429,308,redge
31,11725,59,0.5959595959595959,60,0.6060606060606061,72.1766910977821,0.007439362100369212,0.7122302158273381,277,redge
32,11726,50,0.5050505050505051,41,0.41414141414141414,40.11572511430531,0.004134789230499414,0.668918918918919,305,redge
33,11727,39,0.3939393939393939,49,0.494949494949495,37.846268310484646,0.0039008728417320804,0.6226415094339622,308,redge
34,11728,57,0.5757575757575758,55,0.5555555555555556,61.40965998204277,0.006329587712022549,0.7021276595744681,284,redge
35,11729,47,0.47474747474747475,41,0.41414141414141414,37.50781613211116,0.0038659880573192287,0.6556291390728477,308,redge
36,11730,50,0.5050505050505051,52,0.5252525252525253,51.20756053943751,0.0052780416964994335,0.668918918918919,294,redge
37,11731,50,0.5050505050505051,46,0.46464646464646464,46.718735761734116,0.004815371651384675,0.668918918918919,300,redge
38,11732,55,0.5555555555555556,52,0.5252525252525253,58.04183272245671,0.0059824605980681005,0.6923076923076923,289,redge
39,11733,49,0.494949494949495,50,0.5050505050505051,48.28584197586796,0.004976895689122651,0.6644295302013423,297,redge
40,11734,53,0.5353535353535354,48,0.48484848484848486,52.18897030642463,0.005379197104352157,0.6827586206896552,295,redge
41,11735,49,0.494949494949495,54,0.5454545454545454,50.47647426142944,0.005202687514061991,0.6644295302013423,293,redge
42,11736,48,0.48484848484848486,46,0.46464646464646464,44.11232006678813,0.0045467243936083415,0.66,302,redge
43,11737,50,0.5050505050505051,62,0.6262626262626263,61.05772398687184,0.006293313129959992,0.668918918918919,284,redge
44,11738,55,0.5555555555555556,49,0.494949494949495,52.71325501730252,0.005433235932519328,0.6923076923076923,292,redge
45,11739,45,0.45454545454545453,49,0.494949494949495,41.89455316341263,0.004318135762050364,0.6470588235294118,302,redge
46,11740,54,0.5454545454545454,57,0.5757575757575758,62.57315302266198,0.006449510721775095,0.6875,285,redge
47,11741,54,0.5454545454545454,51,0.5151515151515151,53.36386359921514,0.005500295155557116,0.6875,291,redge
48,11742,54,0.5454545454545454,54,0.5454545454545454,58.91481173272268,0.006072439881748369,0.6875,288,redge
49,11743,62,0.6262626262626263,49,0.494949494949495,60.03910426824889,0.006188322435399803,0.7279411764705882,285,redge
50,11744,53,0.5353535353535354,56,0.5656565656565656,60.60568371792382,0.006246720647075223,0.6827586206896552,287,redge
51,11745,50,0.5050505050505051,56,0.5656565656565656,54.995861024695145,0.005668507629838708,0.668918918918919,290,redge
52,11746,57,0.5757575757575758,59,0.5959595959595959,64.95685646067496,0.006695202686113683,0.7021276595744681,280,redge
53,11747,42,0.42424242424242425,52,0.5252525252525253,43.411776507411815,0.004474518295960813,0.6346153846153846,302,redge
54,11748,46,0.46464646464646464,49,0.494949494949495,43.99283050808887,0.004534408421777867,0.6513157894736842,301,redge
55,11749,43,0.43434343434343436,49,0.494949494949495,40.97545652964163,0.0042234030642796985,0.6387096774193548,304,redge
56,11750,49,0.494949494949495,51,0.5151515151515151,48.32403363428841,0.004980832161852031,0.6644295302013423,296,redge
57,11751,57,0.5757575757575758,41,0.41414141414141414,47.77389359290061,0.004924128385168069,0.7021276595744681,298,redge
58,11752,47,0.47474747474747475,47,0.47474747474747475,42.49498684810723,0.004380023381581863,0.6556291390728477,302,redge
59,11753,56,0.5656565656565656,48,0.48484848484848486,53.12909325376675,0.005476097016467403,0.6971830985915493,292,redge
60,11754,48,0.48484848484848486,49,0.494949494949495,47.03648997513409,0.004848123064845814,0.66,299,redge
61,11755,44,0.4444444444444444,44,0.4444444444444444,38.76388742521358,0.003995453249352049,0.6428571428571429,308,redge
62,11756,44,0.4444444444444444,43,0.43434343434343436,39.311534677586096,0.004051900090454143,0.6428571428571429,309,redge
63,11757,46,0.46464646464646464,44,0.4444444444444444,39.26449645725976,0.004047051789039348,0.6513157894736842,306,redge
64,11758,56,0.5656565656565656,58,0.5858585858585859,68.7897208796339,0.007090261892355587,0.6971830985915493,282,redge
65,11759,55,0.5555555555555556,46,0.46464646464646464,54.625399144242486,0.005630323556405121,0.6923076923076923,295,redge
