,substrate-nodes-id,degree-in,normalized-degree-in,degree-out,normalized-degree-out,betweenness-centrality,normalized-betweenness_centrality,normalized-closeness-centrality,vitality,subtrate-topology
0,36805,50,0.5050505050505051,57,0.5757575757575758,57.342244284773315,0.005910352946276367,0.668918918918919,289,waxman
1,36806,50,0.5050505050505051,46,0.46464646464646464,47.56888714419995,0.004902998056503808,0.668918918918919,300,waxman
2,36807,56,0.5656565656565656,55,0.5555555555555556,58.85608549186526,0.006066386878155561,0.6971830985915493,285,waxman
3,36808,54,0.5454545454545454,53,0.5353535353535354,59.13157671250649,0.0060947821802212416,0.6875,289,waxman
4,36809,51,0.5151515151515151,49,0.494949494949495,50.79848523469659,0.005235877678282477,0.673469387755102,296,waxman
5,36810,40,0.40404040404040403,49,0.494949494949495,39.58953205586868,0.004080553706026456,0.6265822784810127,307,waxman
6,36811,46,0.46464646464646464,44,0.4444444444444444,41.471062631145166,0.004274485944253264,0.6513157894736842,306,waxman
7,36812,42,0.42424242424242425,44,0.4444444444444444,39.724254328816826,0.0040944397370456425,0.6346153846153846,310,waxman
8,36813,53,0.5353535353535354,51,0.5151515151515151,50.387340508110384,0.005193500361586311,0.6827586206896552,292,waxman
9,36814,40,0.40404040404040403,35,0.35353535353535354,28.648111377369904,0.0029528047183436305,0.6265822784810127,321,waxman
10,36815,54,0.5454545454545454,53,0.5353535353535354,60.078997268319206,0.006192434268018883,0.6875,289,waxman
11,36816,61,0.6161616161616161,54,0.5454545454545454,65.60375607684593,0.006761879620371668,0.7226277372262774,281,waxman
12,36817,48,0.48484848484848486,49,0.494949494949495,46.095099645928464,0.004751092521740719,0.66,299,waxman
13,36818,50,0.5050505050505051,43,0.43434343434343436,42.79091495546536,0.004410525144863467,0.668918918918919,303,waxman
14,36819,52,0.5252525252525253,58,0.5858585858585859,63.81248258501172,0.006577250317976883,0.678082191780822,286,waxman
15,36820,57,0.5757575757575758,46,0.46464646464646464,55.18772944403868,0.00568828380169436,0.7021276595744681,293,waxman
16,36821,49,0.494949494949495,47,0.47474747474747475,46.83619160348702,0.00482747800489456,0.6644295302013423,300,waxman
17,36822,45,0.45454545454545453,53,0.5353535353535354,50.87954728659804,0.00524423286813008,0.6470588235294118,298,waxman
18,36823,38,0.3838383838383838,39,0.3939393939393939,30.273124949566984,0.0031202973561705815,0.61875,319,waxman
