,substrate-nodes-id,degree-in,normalized-degree-in,degree-out,normalized-degree-out,betweenness-centrality,normalized-betweenness_centrality,normalized-closeness-centrality,vitality,subtrate-topology
0,0,52,0.5252525252525253,42,0.42424242424242425,44.64643040398925,0.004601775964129999,0.678082191780822,302,waxman
1,1,58,0.5858585858585859,52,0.5252525252525253,65.55150076128997,0.0067564935849608295,0.7071428571428572,286,waxman
2,2,36,0.36363636363636365,37,0.37373737373737376,25.755270012121372,0.002654635128027352,0.6111111111111112,323,waxman
3,3,42,0.42424242424242425,42,0.42424242424242425,38.700527823430264,0.0039889226781519545,0.6346153846153846,312,waxman
4,4,49,0.494949494949495,48,0.48484848484848486,46.46972733285644,0.004789705971228245,0.6644295302013423,299,waxman
5,5,50,0.5050505050505051,53,0.5353535353535354,53.11135957294592,0.005474269178823534,0.668918918918919,293,waxman
6,6,51,0.5151515151515151,52,0.5252525252525253,50.41864906206001,0.0051967273821954246,0.673469387755102,293,waxman
7,7,55,0.5555555555555556,45,0.45454545454545453,40.816899845584224,0.004207060384001672,0.6923076923076923,296,waxman
8,8,56,0.5656565656565656,55,0.5555555555555556,57.613547337085514,0.0059383165674175955,0.6971830985915493,285,waxman
9,9,58,0.5858585858585859,64,0.6464646464646465,73.73332357072908,0.0075998065935610265,0.7071428571428572,274,waxman
10,10,41,0.41414141414141414,38,0.3838383838383838,33.11556351613468,0.003413271852827734,0.6305732484076433,317,waxman
11,11,36,0.36363636363636365,26,0.26262626262626265,17.875924221532202,0.0018424988890468153,0.6111111111111112,334,waxman
12,12,39,0.3939393939393939,45,0.45454545454545453,31.830960186707323,0.0032808658201100103,0.6226415094339622,312,waxman
13,13,43,0.43434343434343436,54,0.5454545454545454,44.75719261886758,0.004613192395265675,0.6387096774193548,299,waxman
14,14,44,0.4444444444444444,41,0.41414141414141414,38.47750795129133,0.003965935678343777,0.6428571428571429,311,waxman
15,15,60,0.6060606060606061,63,0.6363636363636364,79.12544074783554,0.008155580369803704,0.717391304347826,273,waxman
16,16,55,0.5555555555555556,51,0.5151515151515151,54.917749735855665,0.005660456579659417,0.6923076923076923,290,waxman
17,17,52,0.5252525252525253,56,0.5656565656565656,51.300613444097934,0.00528763280190661,0.678082191780822,288,waxman
