,substrate-nodes-id,degree-in,normalized-degree-in,degree-out,normalized-degree-out,betweenness-centrality,normalized-betweenness_centrality,normalized-closeness-centrality,vitality,subtrate-topology
0,4143,3,0.030303030303030304,3,0.030303030303030304,120.86500215470807,0.012457740894115447,0.12073170731707317,1608,grid
1,4142,2,0.020202020202020204,2,0.020202020202020204,8.871478847949435,0.0009143969127962723,0.11,1800,grid
2,4146,3,0.030303030303030304,3,0.030303030303030304,182.12423507864688,0.018771823858858675,0.13026315789473683,1464,grid
3,4149,3,0.030303030303030304,3,0.030303030303030304,215.08916002298352,0.022169569163366678,0.1375,1368,grid
4,4152,3,0.030303030303030304,3,0.030303030303030304,229.60964770523594,0.023666218068979172,0.14142857142857143,1320,grid
5,4155,3,0.030303030303030304,3,0.030303030303030304,229.60964770523597,0.023666218068979176,0.14142857142857143,1320,grid
6,4158,3,0.030303030303030304,3,0.030303030303030304,215.08916002298358,0.022169569163366685,0.1375,1368,grid
7,4161,3,0.030303030303030304,3,0.030303030303030304,182.12423507864682,0.018771823858858668,0.13026315789473683,1464,grid
8,4164,3,0.030303030303030304,3,0.030303030303030304,120.86500215470804,0.012457740894115443,0.12073170731707317,1608,grid
9,4167,2,0.020202020202020204,2,0.020202020202020204,8.871478847949435,0.0009143969127962723,0.11,1800,grid
10,4170,3,0.030303030303030304,3,0.030303030303030304,120.86500215470805,0.012457740894115445,0.12073170731707317,1608,grid
11,4173,4,0.04040404040404041,4,0.04040404040404041,346.271572218631,0.0356907413129902,0.13378378378378378,1416,grid
12,4178,4,0.04040404040404041,4,0.04040404040404041,492.0385351576529,0.05071516544605781,0.14558823529411766,1272,grid
13,4183,4,0.04040404040404041,4,0.04040404040404041,579.8192253824604,0.059762855636204947,0.1546875,1176,grid
14,4188,4,0.04040404040404041,4,0.04040404040404041,621.124712705595,0.0640202754798593,0.1596774193548387,1128,grid
15,4193,4,0.04040404040404041,4,0.04040404040404041,621.124712705595,0.0640202754798593,0.1596774193548387,1128,grid
16,4198,4,0.04040404040404041,4,0.04040404040404041,579.8192253824604,0.059762855636204947,0.1546875,1176,grid
17,4203,4,0.04040404040404041,4,0.04040404040404041,492.0385351576529,0.05071516544605781,0.14558823529411766,1272,grid
18,4208,4,0.04040404040404041,4,0.04040404040404041,346.27157221863104,0.03569074131299021,0.13378378378378378,1416,grid
19,4213,3,0.030303030303030304,3,0.030303030303030304,120.86500215470802,0.012457740894115442,0.12073170731707317,1608,grid
20,4218,3,0.030303030303030304,3,0.030303030303030304,182.12423507864682,0.018771823858858668,0.13026315789473683,1464,grid
21,4221,4,0.04040404040404041,4,0.04040404040404041,492.03853515765286,0.05071516544605781,0.14558823529411766,1272,grid
22,4226,4,0.04040404040404041,4,0.04040404040404041,712.0366551748906,0.07339070863480629,0.1596774193548387,1128,grid
23,4231,4,0.04040404040404041,4,0.04040404040404041,853.3593298858003,0.0879570531731396,0.1706896551724138,1032,grid
24,4236,4,0.04040404040404041,4,0.04040404040404041,922.453149464914,0.09507865898422119,0.1767857142857143,984,grid
25,4241,4,0.04040404040404041,4,0.04040404040404041,922.4531494649138,0.09507865898422117,0.1767857142857143,984,grid
26,4246,4,0.04040404040404041,4,0.04040404040404041,853.3593298858005,0.08795705317313961,0.1706896551724138,1032,grid
27,4251,4,0.04040404040404041,4,0.04040404040404041,712.0366551748905,0.07339070863480628,0.1596774193548387,1128,grid
28,4256,4,0.04040404040404041,4,0.04040404040404041,492.0385351576528,0.0507151654460578,0.14558823529411766,1272,grid
29,4261,3,0.030303030303030304,3,0.030303030303030304,182.12423507864682,0.018771823858858668,0.13026315789473683,1464,grid
30,4266,3,0.030303030303030304,3,0.030303030303030304,215.08916002298352,0.022169569163366678,0.1375,1368,grid
31,4269,4,0.04040404040404041,4,0.04040404040404041,579.8192253824607,0.059762855636204974,0.1546875,1176,grid
32,4274,4,0.04040404040404041,4,0.04040404040404041,853.3593298858003,0.0879570531731396,0.1706896551724138,1032,grid
33,4279,4,0.04040404040404041,4,0.04040404040404041,1036.3341054370462,0.10681654354123336,0.18333333333333332,936,grid
34,4284,4,0.04040404040404041,4,0.04040404040404041,1128.0529411764703,0.11627014442140489,0.19038461538461537,888,grid
35,4289,4,0.04040404040404041,4,0.04040404040404041,1128.0529411764703,0.11627014442140489,0.19038461538461537,888,grid
36,4294,4,0.04040404040404041,4,0.04040404040404041,1036.334105437046,0.10681654354123335,0.18333333333333332,936,grid
37,4299,4,0.04040404040404041,4,0.04040404040404041,853.3593298858003,0.0879570531731396,0.1706896551724138,1032,grid
38,4304,4,0.04040404040404041,4,0.04040404040404041,579.8192253824608,0.05976285563620498,0.1546875,1176,grid
39,4309,3,0.030303030303030304,3,0.030303030303030304,215.0891600229835,0.022169569163366674,0.1375,1368,grid
40,4314,3,0.030303030303030304,3,0.030303030303030304,229.60964770523594,0.023666218068979172,0.14142857142857143,1320,grid
41,4317,4,0.04040404040404041,4,0.04040404040404041,621.1247127055952,0.06402027547985933,0.1596774193548387,1128,grid
42,4322,4,0.04040404040404041,4,0.04040404040404041,922.4531494649142,0.0950786589842212,0.1767857142857143,984,grid
